,GP,InnAbst,InnN,InnP1,InnP2
Adj,0,6,2,1,2
Adv,0,1,2,2,0
Deverb1,0,0,0,1,0
Imp,0,1,0,0,0
Inf,0,2,0,0,0
N1,0,9,1,8,14
N1N2,0,1,0,0,1
N6,0,2,1,0,3
Neg,0,1,0,0,0
Num,0,0,1,0,0
NumN2N2,0,0,0,0,1
NumN2Part,0,0,0,0,1
Part,0,0,0,0,1
Praed,0,2,0,0,2
PraedInf,0,1,0,0,0
Pron,0,0,0,1,0
PronN2,0,0,0,0,1
VPraes,0,1,0,0,0
Vf1plPraes,0,4,0,0,8
Vf1plPraesInf,0,0,0,0,1
Vf1sFut,0,0,1,0,0
Vf1sPraes,0,2,4,4,10
Vf1sPraesN4,0,0,1,0,0
Vf2sFut,0,1,0,0,0
Vf3PraesAdj,0,0,0,0,1
Vf3Praet,0,0,0,0,1
Vf3pl,0,1,0,0,1
Vf3plInf,0,0,0,0,1
Vf3plPraes,0,8,0,1,5
Vf3plPraesInf,0,2,0,0,0
Vf3plPraesPart,0,1,0,0,0
Vf3s,0,0,0,0,1
Vf3sFut,0,0,0,1,0
Vf3sInf,0,0,0,0,1
Vf3sInfPraes,0,0,0,1,0
Vf3sPraed,0,0,0,0,1
Vf3sPraes,0,8,1,16,38
Vf3sPraesAdj,0,0,0,1,0
Vf3sPraesInf,0,0,0,0,1
Vf3sPraesN4,0,0,0,0,1
Vf3sPraesN5,0,0,0,0,1
Vf3sPreatAdj,0,1,0,0,0
VfPraesInfN5,0,1,0,0,0
VfPraet,1,4,0,45,48
VfPraetAdj,0,2,0,0,4
VfPraetAdv,0,0,0,0,1
VfPraetInf,0,1,0,2,4
VfPraetN2Inf,0,0,0,1,0
VfPraetN4,0,0,0,1,0
VfPraetN5,0,0,0,1,1
VfPraetNom5,0,1,0,0,0
VfPreat,0,0,0,0,1
